,num_acc_by_area,grav_mean
274,1.0,1.0
275,1.0,2.5
276,1.0,2.5
277,0.0,1.0
278,0.0,0.0
279,0.0,4.0
280,0.0,0.0
281,4.0,4.0
282,0.0,0.0
283,0.0,0.0
284,0.0,0.0
285,2.0,3.0
286,1.0,4.0
287,4.0,3.75
288,0.0,0.0
289,0.0,0.0
290,1.0,4.0
291,0.0,0.0
292,0.0,4.0
293,0.0,4.0
294,0.0,4.0
295,0.0,0.0
296,1.0,4.0
297,0.0,0.0
298,1.0,4.0
299,0.0,0.0
300,2.0,3.0
301,2.0,3.0
302,0.0,0.0
303,0.0,0.0
304,0.0,1.0
305,0.0,0.0
306,0.0,0.0
307,0.0,0.0
308,2.0,4.0
309,0.0,0.0
310,0.0,1.0
311,0.0,0.0
312,0.0,4.0
313,7.0,4.0
314,0.0,0.0
315,1.0,2.5
316,0.0,4.0
317,0.0,0.0
318,0.0,0.0
319,0.0,0.0
320,0.0,1.0
321,0.0,0.0
322,0.0,4.0
323,0.0,4.0
324,6.0,4.0
325,0.0,4.0
326,5.0,4.0
327,0.0,4.0
328,3.0,3.25
329,0.0,4.0
330,0.0,1.0
331,5.0,4.0
332,1.0,2.5
333,0.0,0.0
334,2.0,3.0
335,0.0,3.0
336,0.0,0.0
337,0.0,0.0
338,4.0,4.0
339,5.0,2.5
340,2.0,4.0
341,0.0,0.0
342,2.0,3.0
343,0.0,4.0
344,0.0,0.0
345,2.0,4.0
346,0.0,4.0
347,1.0,4.0
348,11.0,3.3636363636363638
349,0.0,4.0
350,0.0,0.0
351,2.0,4.0
352,0.0,0.0
353,0.0,0.0
354,0.0,4.0
355,2.0,4.0
356,1.0,4.0
357,1.0,2.5
358,0.0,4.0
359,0.0,4.0
360,0.0,0.0
361,0.0,0.0
362,13.0,3.7857142857142856
363,5.0,3.4
364,2.0,4.0
365,2.0,4.0
366,0.0,4.0
367,0.0,0.0
368,0.0,0.0
369,14.0,3.076923076923077
370,0.0,4.0
371,2.0,4.0
372,0.0,0.0
373,0.0,0.0
374,0.0,0.0
375,0.0,0.0
376,0.0,0.0
377,0.0,0.0
378,0.0,0.0
379,0.0,0.0
380,0.0,0.0
381,0.0,4.0
382,0.0,0.0
383,2.0,2.6666666666666665
384,0.0,0.0
385,1.0,4.0
386,0.0,0.0
387,0.0,0.0
388,0.0,0.0
389,0.0,0.0
390,0.0,0.0
391,3.0,3.0
392,0.0,0.0
393,0.0,0.0
394,2.0,4.0
395,1.0,0.0
396,0.0,0.0
397,0.0,0.0
398,0.0,4.0
399,0.0,0.0
400,0.0,0.0
401,0.0,0.0
402,0.0,4.0
403,1.0,4.0
404,0.0,0.0
405,0.0,0.0
406,1.0,4.0
407,4.0,4.0
408,0.0,0.0
409,0.0,0.0
410,1.0,4.0
411,4.0,4.0
412,2.0,4.0
413,2.0,3.0
414,0.0,0.0
415,2.0,3.0
416,6.0,3.5714285714285716
417,0.0,4.0
418,0.0,1.0
419,0.0,0.0
420,0.0,4.0
421,0.0,0.0
422,0.0,0.0
423,2.0,3.0
424,2.0,3.0
425,0.0,0.0
426,0.0,0.0
427,2.0,4.0
428,2.0,4.0
429,1.0,4.0
430,0.0,1.0
431,0.0,4.0
432,1.0,4.0
433,2.0,4.0
434,3.0,4.0
435,0.0,0.0
436,1.0,2.5
437,0.0,0.0
438,0.0,0.0
439,4.0,3.4
440,0.0,4.0
441,0.0,0.0
442,0.0,0.0
443,8.0,4.0
444,4.0,4.0
445,1.0,4.0
446,4.0,3.4
447,2.0,3.6666666666666665
448,3.0,3.25
449,0.0,4.0
450,3.0,3.25
451,0.0,0.0
452,0.0,0.0
453,4.0,4.0
454,2.0,3.0
455,0.0,4.0
456,0.0,4.0
457,3.0,4.0
458,0.0,0.0
459,1.0,4.0
460,2.0,3.0
461,7.0,3.625
462,0.0,0.0
463,1.0,4.0
464,4.0,4.0
465,5.0,2.5
466,0.0,4.0
467,1.0,4.0
468,9.0,3.5
469,0.0,4.0
470,0.0,4.0
471,0.0,0.0
472,1.0,4.0
473,1.0,4.0
474,1.0,2.5
475,0.0,4.0
476,0.0,4.0
477,3.0,3.25
478,5.0,3.4
479,0.0,0.0
480,5.0,3.4
481,0.0,0.0
482,2.0,4.0
483,0.0,0.0
484,0.0,4.0
485,1.0,4.0
486,2.0,4.0
487,0.0,4.0
